name,team,pos,age,rwpi_role,rwpi_off_score,rwpi_def_score,rwpi_score,cap_hit,true_value,value_gap,expiry_status,expiry_year,years_left,gp,player_id
Will Smith,SJS,C,21.0267,Offensive Driver F,91.22541603630863,12.405446293494705,65.9606656580938,950000.0,5896399.917878451,4946399.917878451,UFA,2027.0,1.0,57.0,8484227
Tyler Toffoli,SJS,C,33.922,Offensive Driver F,89.7125567322239,18.456883509833585,68.6838124054463,6000000.0,6125310.920912232,125310.92091223225,UFA,2028.0,2.0,68.0,8475726
Alexander Wennberg,SJS,C,31.5099,Offensive Driver F,65.35552193645991,75.94553706505295,68.83509833585477,6000000.0,6137908.084476398,137908.0844763983,UFA,2029.0,3.0,69.0,8477505
Vincent Desharnais,SJS,D,29.8261,Shutdown Defenseman,2.4205748865355523,99.84871406959152,87.89712556732225,2000000.0,4000000.0,2000000.0,UFA,2026.0,0.0,42.0,8479576
Sam Dickinson,SJS,D,19.8029,Depth / 7th Defenseman,11.649016641452345,35.400907715582456,5.143721633888049,942500.0,793750.0,-148750.0,RFA,2028.0,2.0,60.0,8484806
Mario Ferraro,SJS,D,27.5236,Shutdown Defenseman,15.582450832072617,98.78971255673223,92.13313161875945,3250000.0,4000000.0,750000.0,UFA,2026.0,0.0,70.0,8479983
John Klingberg,SJS,D,33.6153,Offensive Defenseman,40.09077155824508,28.290468986384266,11.043872919818456,4000000.0,1500000.0,-2500000.0,UFA,2026.0,0.0,54.0,8475906
Nick Leddy,SJS,D,35.0198,Depth / 7th Defenseman,2.5718608169440245,38.88048411497731,4.992435703479576,4000000.0,793750.0,-3206250.0,UFA,2026.0,0.0,23.0,8475181
Shakir Mukhamadullin,SJS,D,24.2081,Depth / 7th Defenseman,17.700453857791228,61.72465960665659,29.80332829046899,1000000.0,812500.0,-187500.0,UFA,2026.0,0.0,39.0,8482166
Dmitry Orlov,SJS,D,34.6776,Offensive Defenseman,28.44175491679274,60.514372163388806,15.73373676248109,6500000.0,1500000.0,-5000000.0,UFA,2027.0,1.0,70.0,8475200
Jonatan Berggren,STL,R,25.6947,Unknown,,,,1825000.0,,,UFA,2026.0,0.0,15.0,8481013
Pavel Buchnevich,STL,L,30.9432,Offensive Driver F,70.80181543116491,52.874432677760964,62.481089258698944,8000000.0,5597941.058672397,-2402058.9413276026,UFA,2031.0,5.0,71.0,8477402
Jonathan Drouin,STL,L,30.9979,Offensive Driver F,43.57034795763994,5.446293494704992,7.110438729198185,4000000.0,440000.0,-3560000.0,UFA,2027.0,1.0,55.0,8477494
Dalibor Dvorsky,STL,R,20.7803,Offensive Driver F,45.688350983358546,11.346444780635402,10.43872919818457,886666.0,440000.0,-446666.0,RFA,2028.0,2.0,60.0,8484164
Jack Finley,STL,C,23.5647,Depth / Bottom-6 F,38.88048411497731,35.854765506807865,13.767019667170954,775000.0,1000000.0,225000.0,RFA,2028.0,2.0,22.0,8482090
Dylan Holloway,STL,L,24.5065,Offensive Driver F,75.03782148260211,34.94704992435703,57.03479576399395,2290457.0,5117360.538091153,2826903.538091153,UFA,2026.0,0.0,48.0,8482077
Jordan Kyrou,STL,R,27.8932,Offensive Driver F,84.26626323751891,10.287443267776098,54.76550680786687,8125000.0,4912282.470181477,-3212717.5298185227,UFA,2031.0,5.0,61.0,8479385
Jake Neighbours,STL,L,23.9945,Offensive Driver F,60.06051437216339,28.139183055975792,33.28290468986384,3750000.0,2829938.3377009756,-920061.6622990244,UFA,2027.0,1.0,58.0,8482089
Jimmy Snuggerud,STL,R,21.8179,Offensive Driver F,81.08925869894101,8.018154311649017,48.86535552193646,950000.0,4365765.762625815,3415765.7626258153,UFA,2027.0,1.0,59.0,8483516
Otto Stenberg,STL,C,20.8268,Depth / Bottom-6 F,43.872919818456886,37.821482602118,18.15431164901664,918333.0,1000000.0,81667.0,RFA,2028.0,2.0,25.0,8484230
Oskar Sundqvist,STL,C,32.011,Defensive / PK Forward,42.662632375189105,67.17095310136158,50.529500756429655,1500000.0,1100000.0,-400000.0,UFA,2026.0,0.0,49.0,8476897
Pius Suter,STL,C,29.8398,Defensive / PK Forward,62.481089258698944,68.98638426626323,64.59909228441755,4125000.0,3250000.0,-875000.0,UFA,2027.0,1.0,54.0,8480459
Robert Thomas,STL,C,26.7351,Offensive Driver F,82.45083207261725,44.78063540090771,76.09682299546142,8125000.0,6727703.039407407,-1397296.960592593,UFA,2031.0,5.0,53.0,8480023
Alexey Toropchenko,STL,R,26.7543,Defensive / PK Forward,22.087745839636913,93.79727685325264,79.80332829046898,2500000.0,3250000.0,750000.0,UFA,2028.0,2.0,55.0,8480281
Nathan Walker,STL,L,32.1314,Depth / Bottom-6 F,38.12405446293495,76.70196671709532,38.72919818456884,887500.0,1650000.0,762500.0,UFA,2028.0,2.0,42.0,8477573
Philip Broberg,STL,D,24.7529,Shutdown Defenseman,21.78517397881997,81.84568835098335,64.14523449319213,8000000.0,2500000.0,-5500000.0,UFA,2032.0,6.0,70.0,8481598
Cam Fowler,STL,D,34.308,Offensive Defenseman,22.995461422087747,31.316187594553707,4.236006051437216,6100000.0,1500000.0,-4600000.0,UFA,2029.0,3.0,71.0,8475764
Justin Holl,STL,D,34.1547,Unknown,,,,3400000.0,,,UFA,2026.0,0.0,5.0,8475718
Matthew Kessel,STL,D,25.7577,Depth / 7th Defenseman,11.951588502269288,32.9803328290469,4.387291981845689,800000.0,793750.0,-6250.0,UFA,2026.0,0.0,28.0,8482516
Theo Lindstein,STL,D,21.2211,Unknown,,,,918333.0,,,RFA,2028.0,2.0,8.0,8484188
Logan Mailloux,STL,D,22.9487,Depth / 7th Defenseman,15.128593040847202,41.45234493192133,9.379727685325264,975000.0,793750.0,-181250.0,RFA,2028.0,2.0,56.0,8482733
Colton Parayko,STL,D,32.8734,Shutdown Defenseman,5.29500756429652,91.52798789712556,72.46596066565809,6500000.0,3750000.0,-2750000.0,UFA,2030.0,4.0,66.0,8476892
Tyler Tucker,STL,D,26.0698,Depth / 7th Defenseman,17.39788199697428,76.85325264750378,48.63842662632375,925000.0,775000.0,-150000.0,UFA,2027.0,1.0,61.0,8481006
Oliver Bjorkstrand,TBL,R,30.9624,Offensive Driver F,67.92738275340393,8.774583963691377,32.677760968229954,5400000.0,2767588.8197054546,-2632411.1802945454,UFA,2026.0,0.0,70.0,8477416
Anthony Cirelli,TBL,C,28.6982,Defensive / PK Forward,90.92284417549168,79.87897125567322,98.03328290468987,6250000.0,3250000.0,-3000000.0,UFA,2031.0,5.0,63.0,8478519
Zemgus Girgensons,TBL,C,32.2218,Defensive / PK Forward,34.039334341906205,77.15582450832072,59.60665658093798,850000.0,1100000.0,250000.0,UFA,2027.0,1.0,64.0,8476878
Gage Goncalves,TBL,C,25.191,Depth / Bottom-6 F,63.842662632375195,27.382753403933435,31.01361573373676,1200000.0,1650000.0,450000.0,UFA,2027.0,1.0,63.0,8482201
Yanni Gourde,TBL,C,34.2806,Defensive / PK Forward,41.6036308623298,75.03782148260211,61.11951588502269,2333333.0,3250000.0,916667.0,UFA,2031.0,5.0,71.0,8476826
Jake Guentzel,TBL,C,31.4716,Offensive Driver F,98.78971255673223,43.34341906202723,96.97428139183056,9000000.0,8261095.326351499,-738904.6736485008,UFA,2031.0,5.0,71.0,8477404
Brandon Hagel,TBL,L,27.5811,Defensive / PK Forward,97.88199697428139,75.642965204236,97.12556732223904,6500000.0,3250000.0,-3250000.0,UFA,2032.0,6.0,66.0,8479542
Pontus Holmberg,TBL,R,27.05,Depth / Bottom-6 F,54.76550680786687,43.57034795763994,32.829046898638424,1550000.0,1650000.0,100000.0,UFA,2027.0,1.0,64.0,8480995
Dominic James,TBL,C,23.7317,Depth / Bottom-6 F,53.25264750378215,16.792738275340394,14.826021180030258,910000.0,1000000.0,90000.0,RFA,2027.0,1.0,43.0,8483752
Nikita Kucherov,TBL,R,32.7748,Offensive Driver F,100.0,11.195158850226928,83.2072617246596,9500000.0,7276983.719637465,-2223016.2803625353,UFA,2027.0,1.0,67.0,8476453
Nick Paul,TBL,L,31.0198,Depth / Bottom-6 F,53.10136157337367,23.600605143721634,17.700453857791228,3150000.0,1000000.0,-2150000.0,UFA,2029.0,3.0,41.0,8477426
Corey Perry,TBL,R,40.8624,Offensive Driver F,86.9894099848714,3.3282904689863844,54.0090771558245,2000000.0,4843290.933252872,2843290.933252872,UFA,2026.0,0.0,50.0,8470621
Brayden Point,TBL,C,30.037,Offensive Driver F,90.46898638426626,6.505295007564296,62.178517397882,9500000.0,5571672.023914252,-3928327.9760857476,UFA,2030.0,4.0,53.0,8478010
Scott Sabourin,TBL,R,33.6564,Unknown,,,,775000.0,,,UFA,2026.0,0.0,19.0,8477149
Declan Carlile,TBL,D,25.8563,Depth / 7th Defenseman,1.361573373676248,55.975794251134644,15.582450832072617,775000.0,793750.0,18750.0,UFA,2026.0,0.0,38.0,8483398
Erik Cernak,TBL,D,28.8296,Shutdown Defenseman,7.564296520423601,95.46142208774585,83.50983358547656,5200000.0,4000000.0,-1200000.0,UFA,2031.0,5.0,50.0,8478416
Max Crozier,TBL,D,25.9357,Depth / 7th Defenseman,21.936459909228443,56.732223903177,26.32375189107413,3658333.0,812500.0,-2845833.0,RFA,2028.0,2.0,34.0,8481719
Charle-Edouard D'Astous,TBL,D,27.9316,Depth / 7th Defenseman,28.290468986384266,49.47049924357035,21.6338880484115,3658333.0,812500.0,-2845833.0,UFA,2028.0,2.0,59.0,8480426
Victor Hedman,TBL,D,35.2717,Offensive Defenseman,41.90620272314675,76.32375189107414,39.4856278366112,8000000.0,5500000.0,-2500000.0,UFA,2029.0,3.0,33.0,8475167
Emil Lilleberg,TBL,D,25.1444,Depth / 7th Defenseman,9.07715582450832,39.03177004538578,5.900151285930408,3658333.0,793750.0,-2864583.0,RFA,2028.0,2.0,39.0,8482929
Ryan McDonagh,TBL,D,36.7858,Shutdown Defenseman,26.77760968229955,85.62783661119516,74.88653555219365,4100000.0,3750000.0,-350000.0,UFA,2029.0,3.0,38.0,8474151
